level,word,extra,translation
B2,архитекту́ра,только ед.ч.,architecture
B2,архитекту́рный,"(-ая, -ое, -ые)",architectural
B2,аспира́нт,ж.р. аспира́нтка; р.п. мн.ч. аспира́нток,postgraduate student
B2,аспиранту́ра,,postgraduate study
B2,атеи́зм,только ед.ч.,atheism
B2,атле́тика,только ед.ч.,athletics
B2,атмосфе́ра,,atmosphere
B2,а́томный,"(-ая, -ое, -ые)",atomic
B2,ауди́рование,,listening (comprehension)
B2,аудито́рия,,lecture-hall
B2,аукцио́н,,auction
B2,афи́ша,,poster
B2,африка́нец,"сущ.; мн.ч. африка́нцы; ж.р. африка́нка, р.п. мн.ч. африка́нок",African
B2,африка́нский,"прил. (-ая, -ое, -ие)",African
B2,аэропо́рт,,airport
B2,ба́бушка,р.п. мн.ч. ба́бушек,grandmother
B2,бага́ж,только ед.ч.,luggage
B2,бадминто́н,только ед.ч.,badminton
B2,ба́за,"1) материа́льная, техни́ческая ба́за 2) вое́нная ба́за 3) туристи́ческая ба́за 4) ба́за да́нных",base 1) resource base 2) military base 3) base camp 4) database
B2,база́р,,"market, bazaar"
B2,бакала́вр,,bachelor
B2,баклажа́н,,aubergine
B2,бал,,"ball, dance"
B2,балала́йка,р.п. мн.ч. балала́ек,balalaika
B2,балери́на,,ballerina
B2,бале́т,,ballet
B2,балко́н,,balcony
B2,балл,,"mark, point"
B2,балова́ть,"(балу́ю, балу́ешь) нсв I — избалова́ть (избалу́ю, избалу́ешь) св I",to spoil
B2,балова́ться,"(балу́юсь, балу́ешься) нсв I",to fool (with)
B2,бана́н,,banana
B2,бандеро́ль,ж.р.,post package
B2,банк,,bank
B2,ба́нка,р.п. мн.ч. ба́нок,"can, pot"
B2,банке́т,,banquet
B2,банки́р,,banker
B2,банкома́т,,cash machine
B2,банкро́т,,bankrupt
B2,ба́ня,,bath-house
B2,бар,,"bar, pub"
B2,бараба́н,,drum (musical instrument)
B2,бара́н,,ram (male sheep)
B2,бара́нина,только ед.ч.,mutton
B2,бара́нка,р.п. мн.ч. бара́нок,baranka (ring-shaped roll)
B2,бас,петь ба́сом,bass — to sing bass
B2,баскетбо́л,только ед.ч.,basketball
B2,баскетболи́ст,ж.р. баскетболи́стка; р.п. мн.ч. баскетболи́сток,basketball player
B2,бассе́йн,,swimming pool
B2,бастова́ть,"(басту́ю, басту́ешь) нсв I",to be on strike
B2,бато́н,,long loaf
B2,ба́шня,р.п. мн.ч. ба́шен,tower
B2,бе́гать,нсв I,to run
B2,бегу́н,ж.р. бегу́нья; р.п. мн.ч. бегу́ний,runner
B2,беда́,,misfortune
B2,бедне́ть,нсв I — обедне́ть св I,to become poorer
B2,бе́дность,"ж.р., только ед.ч.",poverty
B2,бе́дный,"(-ая, -ое, -ые); бе́дно 1) Он бе́дный челове́к: у него́ нет де́нег. 2) Бе́дный Оле́г, он так до́лго боле́ет!","poor; poorly 1) He is a poor man: he has no money. 2) Poor Oleg, he has been ill for so long!"
B2,бе́дствие,стихи́йное бе́дствие,disaster — natural disaster
B2,бежа́ть,"(бегу́, бежи́шь) только нсв I — побежа́ть (побегу́, побежи́шь) cв",to run
B2,бе́жевый,"(-ая, -ое, -ые)",beige
B2,бе́женец,"мн.ч. бе́женцы, р.п. мн.ч. бе́женцев; ж.р. бе́женка; р.п. мн.ч. бе́женок",refugee
B2,без,(безо) + р.п.,without
B2,безвку́сный,"прил. (-ая, -ое, -ые); нар. безвку́сно",tasteless; it’s tasteless
B2,безвы́ходный,"(-ая, -ое, -ые) — безвы́ходная ситуа́ция",desperate — desperate situation
B2,безгра́мотный,"(-ая, -ое, -ые); безгра́мотно","illiterate; with spelling mistakes, illiterately"
B2,безграни́чный,"(-ая, -ое, -ые); безграни́чно","boundless, unlimited; infinitely"
B2,безда́рный,"(-ая, -ое, -ые); безда́рно",talentless; without any show of talent
B2,безде́йствовать,"(безде́йствую, безде́йствуешь) только нсв I",to be inactive
B2,безде́льничать,только нсв I,to idle
B2,безде́тный,"(-ая, -ое, -ые)",childfree
B2,безду́шный,"(-ая, -ое, -ые)",soulless
B2,беззабо́тный,"(-ая, -ое, -ые); беззабо́тно",careless; carelessly
B2,беззащи́тный,"(-ая, -ое, -ые)",defenceless
B2,безлю́дный,"(-ая, -ое, -ые); безлю́дно","peopleless, deserted; it’s uninhabited"
B2,безнадёжный,"(-ая, -ое, -ые); безнадёжно","hopeless, pathetical; hopelessly"
B2,безнра́вственный,"прил. (-ая, -ое, -ые); нар. безнра́вственно",immoral; it’s immoral
B2,безобра́зный,"прил. (-ая, -ое, -ые); нар. безобра́зно",ugly; it is ugly
B2,безопа́сность,ж.р. только ед.ч.,safety
B2,безопа́сный,"(-ая, -ое, -ые); безопа́сно",safe; safely
B2,безрабо́тица,только ед.ч.,unemployment
B2,безрабо́тный,"сущ. (-ая, -ые)",unemployed
B2,безусло́вно,,certainly
B2,бейсбо́л,только ед.ч.,baseball
B2,беко́н,только ед.ч.,bacon
B2,беле́ть,нсв I — побеле́ть св I,"to whiten, to become white"
B2,бе́лка,р.п. мн.ч. бе́лок,squirrel
B2,бело́к,р.п. ед.ч. белка́ — яи́чный бело́к,white — egg white
B2,бе́лый,"(-ая, -ое, -ые)",white
B2,бельё,только ед.ч.,"underwear, linen"
B2,бензи́н,только ед.ч.,"benzine, petrol, gas, fuel"
B2,бе́рег,,"bank (of a river), shore"
B2,бережли́вый,"(-ая, -ое, -ые)",economical
B2,бе́режно,,carefully
B2,берёза,,birch
B2,бере́менная,(-ые),pregnant
B2,бере́т,,beret
B2,бере́чь,"(берегу́, бережёшь; прош.вр. берёг, берегла́, берегли́) нсв I — сбере́чь (сберегу́, сбережёшь; прош. вр. сберёг, сберегла́, сберегли́) св I","to keep, to save"
B2,бесе́да,,conversation
B2,бесе́дка,р.п. мн.ч. бесе́док,"garden house, pavilion"
B2,бесе́довать,"(бесе́дую, бесе́дуешь) нсв I — побесе́довать (побесе́дую, побесе́дуешь) св I",to speak about
B2,бесконе́чный,"(-ая, -ое, -ые); бесконе́чно",endless; endlessly
B2,бескоры́стный,"(-ая, -ое, -ые); бескоры́стно",unmercenary; unmercenarily
B2,беспла́тный,"прил. (-ая, -ое, -ые); нар. беспла́тно",free; free
B2,беспоко́ить,нсв II,to bother
B2,беспоко́иться,нсв II,to worry about
B2,беспоко́йный,"(-ая, -ое, -ые); беспоко́йно","anxious, restless; anxiously"
B2,бесполе́зный,"(-ая, -ое, -ые); бесполе́зно",useless; uselessly
B2,беспо́мощный,"(-ая, -ое, -ые)",helpless
B2,беспоря́док,р.п. ед.ч. беспоря́дка 1) только ед.ч. — беспоря́док в ко́мнате 2) только мн.ч. — беспоря́дки в стране,"disorder, mess 1) mess in the room 2) disorders in the country"
B2,беспра́вный,"(-ая, -ое, -ые)",rightless
B2,бессмы́сленный,"(-ая, -ое, -ые); бессмы́сленно",senseless; senselessly
B2,бессо́вестный,"(-ая, -ое, -ые)",shameless
B2,бессо́нница,только ед.ч.,insomnia
B2,бессро́чный,"(-ая, -ое, -ые)",termless
B2,беста́ктный,"(-ая, -ое, -ые); беста́ктно",tactless; tactlessly
B2,бесцве́тный,"(-ая, -ое, -ые)",colourless
B2,бесце́нный,"(-ая, -ое, -ые)",priceless
B2,бесшу́мный,"(-ая, -ое, -ые); бесшу́мно",noiseless; noiselessly
B2,бето́н,только ед.ч.,concrete
B2,библиоте́ка,,library
B2,библиоте́карь,,librarian
B2,би́блия,,Bible
B2,би́знес,только ед.ч.,business
B2,бизнесме́н,,businessman
B2,биле́т,1) биле́т на по́езд 2) биле́т на конце́рт 3) экзаменацио́нный биле́т,ticket 1) train ticket 2) concert ticket 3) exam paper
B2,билья́рд,,billiard
B2,биогра́фия,,biography
B2,био́лог,,biologist
B2,биологи́ческий,"(-ая, -ое, -ие)",biological
B2,биоло́гия,только ед.ч.,biology
B2,би́ржа,,stock exchange
B2,бить,"(бью, бьёшь) нсв I — изби́ть (изобью́, изобьёшь) св I; разби́ть (разобью́, разобьёшь) св I 1) кого? — Его́ изби́ли. 2) что? — Ива́н разби́л стака́н.",to beat (up); to break 1) He was beaten up. 2) Ivan broke the glass.
B2,благодари́ть,нсв I — поблагодари́ть cв II,to thank
B2,благода́рный,"(-ая, -ое, -ые)",grateful
B2,благоро́дный,"(-ая, -ое, -ые); благоро́дно",noble; nobly
B2,благотвори́тельный,"(-ая, -ое, -ые)",charitable
B2,бланк,,form
B2,бледне́ть,нсв I — побледне́ть св I,to turn pale
B2,бле́дный,"(-ая, -ое, -ые)",pale
B2,блесте́ть,нсв II,"to shine, to glance"
B2,блестя́щий,"(-ая, -ее, -ие) 1) блестя́щие украше́ния 2) блестя́щее выступле́ние","brilliant, shiny 1) shiny jewellery 2) brilliant performance"
B2,бли́зкий,"(-ая, -ое, -ие); бли́зко; сравн.ст. бли́же 1) Апте́ка бли́зко. 2) Э́то на́ши бли́зкие ро́дственники. 3) Анто́н — мой бли́зкий друг.","near, close; near, closely; nearer, closer 1) The chemist’s is nearby. 2) These are our close relatives. 3) Anton is my close friend."
B2,близнецы́,мн.ч.; ед.ч. близне́ц,twins; twin
B2,блины́,мн.ч.; ед.ч. блин,pancakes; pancake
B2,блок,1) полити́ческий блок 2) блок сигаре́т,block 1) political coalition 2) block of cigarettes
B2,блокно́т,,notepad
B2,блонди́н,ж.р. блонди́нка; р.п. мн.ч. блонди́нок,blonde
B2,блу́зка,р.п. мн.ч. блу́зок,blouse
B2,блю́до,1) сере́бряное блю́до 2) вку́сное блю́до,dish 1) silver dish 2) tasty dish
B2,блю́дце,р.п. мн.ч. блю́дец,saucer
B2,бог,,God
B2,богате́ть,нсв I — разбогате́ть св I,to grow rich
B2,бога́тство,,richness
B2,бога́тый,"(-ая, -ое, -ые); бога́то",rich; richly
B2,боеви́к,смотре́ть боеви́к,action movie
B2,бой,,"battle, combat"
B2,бок,,side
B2,бока́л,,wineglass
B2,бокс,только ед.ч.,box
B2,боксёр,,boxer
B2,бо́лее,,more
B2,боле́знь,ж.р.,illness
B2,боле́льщик,,fan
B2,боле́ть,нсв I — заболе́ть 1 св I 1) чем? — гри́ппом 2) за кого? за что? только нсв — боле́ть за футбо́льную кома́нду,to be ill — to fall ill 1) to have flue 2) to be a fan
B2,боле́ть,нсв I — заболе́ть 2 (1 и 2 л. не употр.) св I — боли́т голова́,to ache — Head is aching.
B2,боло́тистый,"(-ая, -ое, -ые)",swampy
B2,боло́то,,"swamp, marsh"
B2,болта́ть,нсв I — поболта́ть св I разг. — болта́ть по телефо́ну,to chat — to chat on the phone
B2,боль,ж.р.,pain
B2,больни́ца,,hospital
B2,больно́й,"прил. (-а́я, -о́е, -ы́е); кр. прил. бо́лен (-на́, -но́, -ны́); нар. бо́льно 1) больно́й зуб 2) больно́е о́бщество","ill, sore; painful 1) sore tooth 2) ill society"
B2,больно́й,"сущ. (-а́я, -ы́е)","sick man, patient"
B2,большинство́,только ед.ч.,majority
B2,большо́й,"(-а́я, -о́е, -и́е); сравн. ст. бо́льше","big; bigger, more"
B2,бо́мба,,bomb
B2,бомби́ть,нсв II,to bomb
B2,бомж,,homeless person
B2,боре́ц,р.п. ед.ч. борца́; мн.ч. борцы́,fighter
B2,борода́,,beard
B2,борода́тый,"(-ая, -ое, -ые)",bearded
B2,боро́ться,"(борю́сь, бо́решься) только нсв I",to fight
B2,борщ,,borsch (red beet soup)
B2,борьба́,только ед.ч. 1) соревнова́ния по борьбе́ 2) борьба́ с инфля́цией,fight 1) competition in fight 2) fight against inflation
B2,босоно́жки,мн.ч.; р.п. мн.ч. босоно́жек; ед.ч. босоно́жка,"peeps, sandals"
B2,бота́ник,,botanist
B2,бота́ника,только ед.ч.,botany
B2,боти́нки,"мн.ч.; р.п. мн.ч. боти́нок; ед.ч. боти́нок, р.п. ед.ч. боти́нка",boots; boot
B2,боя́ться,"(бою́сь, бои́шься) только нсв II + инф.",to be afraid
B2,брак,1 вступи́ть в брак,marriage — to marry
B2,брак,2 только ед.ч. — това́р с бра́ком,faulty goods
B2,брасле́т,,bracelet
B2,брат,"мн.ч. бра́тья, р.п. мн.ч. бра́тьев",brother
B2,брать,"(беру́, берёшь) нсв I — взять (возьму́, возьмёшь) св I 1) взять ребёнка на́ руки 2) брать бра́та в кино́, ве́щи в пое́здку 3) взять биле́ты в теа́тр 4) брать де́ньги в долг 5) взять такси́","to take 1) to take child in one’s arms 2) to take brother to the cinema, to take things in the journey 3) to buy theater tickets 4) to borrow money 5) to take taxi"
B2,бре́дить,"(бре́жу, бре́дишь) только нсв II",to rave
B2,брести́,"(бреду́, бредёшь, прош.вр. брёл, брела́, брели́) только нсв I","to lag, to trail"
B2,бриллиа́нт,,diamond
B2,бри́тва,,razor
B2,бри́ться,"(бре́юсь, бре́ешься) нсв I — побри́ться (побре́юсь, побре́ешься) св I",to shave
B2,бро́ви,мн.ч.; ед. ч. бровь ж.р.,eyebrows; eyebrow
B2,броди́ть,"(брожу́, бро́дишь) только нсв II — броди́ть по ле́су","to wander, to ramble — to wander in the forest"
B2,брони́ровать,"(брони́рую, брони́руешь) нсв I — заброни́ровать (заброни́рую, заброни́руешь) св I — заброни́ровать но́мер в гости́нице, биле́ты","to book, to reserve — to reserve room in the hotel, to book tickets"
B2,бронхи́т,,bronchitis
B2,броса́ть,"нсв I — бро́сить (бро́шу, бро́сишь) св II + инф. 1) броса́ть мяч 2) бро́сить кури́ть 3) бро́сить рабо́ту, семью́","to throw, to leave, to give up 1) to throw ball 2) to give up smoking 3) to leave job, to leave family"
B2,брошь,ж.р.; бро́шка; р.п. мн.ч. бро́шек,brooch
B2,брю́ки,только мн.ч.,trousers
B2,брюне́т,ж.р. брюне́тка; р.п. мн.ч. брюне́ток,brunet
B2,будди́зм,только ед.ч.,Buddhism
B2,будди́ст,,Buddhist
B2,буди́льник,,alarm-clock
B2,буди́ть,"(бужу́, бу́дишь) нсв II — разбуди́ть (разбужу́, разбу́дишь) св II",to wake up
B2,бу́дни,только мн.ч.; р.п. бу́дней,weekdays
B2,бу́дто,,as if
B2,бу́дущее,"сущ., только ед.ч.",future
B2,бу́дущий,"прил. (-ая, -ее, -ие)",future
B2,бу́ква,,"letter, character"
B2,буке́т,,bunch (of flowers)
B2,бу́лка,р.п. мн.ч. бу́лок,white bread
B2,бу́лочка,р.п. мн.ч. бу́лочек,baked roll
B2,бу́лочная,сущ. (-ые),bakery shop
B2,бульва́р,,boulevard
B2,бульо́н,,broth
B2,бума́га,1) только ед.ч. — бума́га для письма́ 2) подписа́ть бума́ги у дире́ктора,paper 1) paper for writing 2) to sign papers at the director’s office
B2,бума́жник,,wallet
B2,бума́жный,"(-ая, -ое, -ые)","paper, made of paper"
B2,буржуа́зный,"(-ая, -ое, -ые)",bourgeois
B2,бу́ря,,storm
B2,бу́сы,только мн.ч.,"beads, bead necklace"
B2,бутербро́д,,sandwich
B2,буты́лка,р.п. мн.ч. буты́лок,bottle
B2,буфе́т,,buffet
B2,буха́нка,р.п. мн.ч. буха́нок,loaf
B2,бы,(б) — Если б я знал...; я хоте́л бы...,if — If only I knew...; I would like to...
B2,быва́ть,нсв I — побыва́ть св I 1) 1 и 2 л. не употр. — Таки́е слу́чаи быва́ют ре́дко. 2) где? — Бори́с ча́сто быва́ет в Петербу́рге.,"to occur, to happen, to visit 1) Such occasions happen seldom. 2) Boris often visits Petersburg."
B2,бы́вший,"(-ая, -ее, -ие)","former, ex"
B2,бык,,bull
B2,бы́стрый,"прил. (-ая, -ое, -ые); нар. бы́стро",fast; fast
B2,быт,только ед.ч.,everyday life
B2,бытово́й,"(-а́я, -о́е, -ы́е)",household
B2,быть,"(бу́ду, бу́дешь) только нсв I 1) где? у кого? — Мы бы́ли на да́че, у дру́га. 2) Вчера́ был дождь. 3) кем? — Пе́тя хо́чет быть инжене́ром.",to be 1) We were by our friend at his datcha. 2) Yesterday it was raining. 3) Petya wants to be an engineer.
B2,бюдже́т,,budget
B2,бюро́,неизм. — туристи́ческое бюро́,office — tourist office
B2,бюрокра́т,,bureaucrat
B2,в,"(во) 1) в.п. куда? — войти́ в ко́мнату 2) в.п. когда? — в сре́ду 3) п.п. когда? — в январе́, в де́тстве 4) п.п. где? — быть в музе́е 5) п.п. в чём? — де́вушка в ку́ртке","to, in, at, on, into 1) to enter the room 2) on Wednesday 3) in January, in the childhood 4) in the museum 5) girl in the jacket"
B2,ваго́н,,"coach, carriage"
B2,ва́жный,"прил. (-ая, -ое, -ые); нар. ва́жно",important; it’s important
B2,ва́за,,vase
B2,вальс,,waltz
B2,валю́та,,currency
B2,ва́нна,,tub
B2,ва́нная,cущ.,bathroom
B2,ва́режки,"мн.ч.; р.п. мн.ч. ва́режек; ед.ч. ва́режка, р.п. ед.ч. ва́режки",mittens; mitten
B2,варе́нье,,jam
B2,варёный,"(-ая, -ое, -ые)",boiled
B2,вариа́нт,,"variant, version"
B2,вари́ть,нсв II — свари́ть св II,"to cook, to boil"
B2,ва́та,только ед.ч.,cotton wool
B2,ватру́шка,р.п. мн.ч. ватру́шек,curd tart
B2,ва́фли,мн.ч.; р.п. мн.ч. ва́фель; ед.ч. ва́фля,wafers; wafer
B2,ваш,"(-а, -е, -и)",your
B2,вбега́ть,"нсв I — вбежа́ть (вбегу́, вбежи́шь) св I",to rush in
B2,вверх,,upwards
B2,вверху́,,above
B2,вводи́ть,"(ввожу́, вво́дишь) нсв II — ввести́ (введу́, введёшь; прош.вр. ввёл, ввела́) св I","to lead in, to put in, to enter"
B2,ввоз,только ед.ч.,import
B2,ввози́ть,"(ввожу́, вво́зишь) нсв II — ввезти́ (ввезу́, ввезёшь) св I","to bring in, to import"
B2,вгля́дываться,"нсв I — вгляде́ться (вгляжу́сь, вгляди́шься) св II",to peer into
B2,вдали́,,"in the distance, a long way from"
B2,вдаль,,"afar, at a distance"
B2,вдво́е,,"twice, double"
B2,вдвоём,,both
B2,вдове́ц,р.п. вдовца́; мн.ч. вдовцы́; вдова́,widower
B2,вдоль,р.п.,along
B2,вдохнове́ние,только ед.ч.,inspiration
B2,вдруг,,suddenly
B2,вегетариа́нец,р.п. ед.ч. вегетариа́нца; мн.ч. вегетариа́нцы,vegetarian
B2,ведро́,"мн.ч. вёдра, р.п. мн.ч. вёдер",bucket
B2,веду́щий,"(-ая, -ие) сущ. — веду́щий програ́ммы",presenter — programme presenter
B2,ведь,,"indeed, but"
B2,ве́жливый,"(-ая, -ое, -ые); ве́жливо",polite; politely
B2,везде́,,"everywhere, all around the world"
B2,везти́,"1 (везу́, везёшь; прош.вр. вёз, везла́, везли́) только нсв I","to carry, to drive"
B2,везти́,2 (везёт) безл. нсв I — повезти́ 2 (повезёт) св I — Ему́ везёт в жи́зни. Ему́ повезло́ с рабо́той,"to have luck, to be lucky — He is lucky in life. He has luck with his job"
B2,везу́чий,"(-ая, -ее, -ие)",lucky
B2,век,,century
B2,ве́ко,мн.ч. ве́ки,eyelid
B2,вели́к,"(-а́, -о́, -и́) кр.ф. — Э́тот костю́м мне вели́к.","too big, oversized — This costume is too big for me."
B2,вели́кий,"(-ая, -ое, -ие)",great
B2,великоле́пный,"(-ая, -ое, -ые); великоле́пно","perfect, splendid; perfectly"
B2,велого́нка,р.п. мн.ч. велого́нок,bicycle race
B2,велосипе́д,,bicycle
B2,велосипеди́ст,,bicycler
B2,ве́ник,,"besom, broom"
B2,венча́ться,нсв I — обвенча́ться св I,"to get married, to wed"
B2,ве́ра,только ед.ч.,belief
B2,верблю́д,,camel
B2,верёвка,р.п. мн.ч. верёвок,"rope, string"
B2,ве́рить,нсв II — пове́рить св II,to believe
B2,вермише́ль,"ж.р., только ед.ч.",vermicelli
B2,ве́рность,"ж.р., только ед.ч.",faith
B2,ве́рный,"(-ая, -ое, -ые); ве́рно 1) ве́рное реше́ние 2) ве́рный друг","correct, true; correctly 1) correct decision 2) true friend"
B2,вероя́тно,,"likely, probably"
B2,вероя́тность,"ж.р., только ед.ч.",probability
B2,ве́рсия,,version
B2,вертика́льный,"(-ая, -ое, -ые); вертика́льно",vertical; vertically
B2,вертолёт,,helicopter
B2,ве́рующий,"(-ая, -ие) сущ.",believer
B2,верх,,top
B2,ве́рхний,"(-яя, -ее, -ие)",upper
B2,верши́на,,"peak, top, head (of the tree)"
B2,вес,только ед.ч.,weight
B2,весели́ться,только нсв II,to have fun
B2,весёлый,"(-ая, -ое, -ые); ве́село","merry, jolly; merrily"
B2,весе́нний,"(-яя, -ее, -ие)",spring
B2,ве́сить,"(ве́шу, ве́сишь) только нсв I — Ребёнок ве́сит 10 кг",to weigh — The child weighs 10 kg
B2,весна́,"мн.ч. вёсны, р.п.мн.ч. вёсен; весно́й",spring; in spring
B2,вести́,"(веду́, ведёшь; прош.вр. вёл, вела́, вели́) нсв I 1) кого? куда? откуда? — вести́ сы́на из па́рка домо́й 2) что? — вести́ маши́ну 3) что? — ве́сти дома́шнее хозя́йство 4) что? — ве́сти дневни́к, разгово́р, уро́к 5) вести́ себя́ — Ребёнок ведёт себя́ хорошо́.","to conduct, to take, to lead, to drive 1) to bring son home from the park 2) to drive a car 3) to manage the house 4) to keep a diary, to hold conversation / classes 5) to behave — A child behaves himself."
B2,весы́,только мн.ч.,scales
B2,весь,"вся, всё, все",all
B2,ве́тер,р.п. ед.ч. ве́тра,wind
B2,ветера́н,,veteran
B2,ве́тка,р.п. мн.ч. ве́ток,"branch, twig"
B2,ветчина́,только ед.ч.,ham
B2,ве́чер,ве́чером,evening; in the evening
B2,вечери́нка,р.п. мн.ч. вечери́нок,party
B2,вече́рний,"прил. (-яя, -ее, -ие)",evening
B2,ве́чный,"(-ая, -ое, -ые); ве́чно","everlasting, eternal; for ever"
B2,ве́шалка,р.п. мн.ч. ве́шалок,hanger
B2,ве́шать,"нсв I — пове́сить (пове́шу, пове́сишь) св I",to hang
B2,вещь,ж.р.,thing
B2,взаи́мный,"(-ая, -ое, -ые); взаи́мно",mutual; mutually
B2,взаимо-,"взаимоде́йствие, взаимосвя́зь","inter- — interaction, interrelation"
B2,взве́шивать,"нсв I — взве́сить (взве́шу, взве́сишь) св I",to weigh smth
B2,взволно́ванный,"(-ая, -ое, -ые); взволно́ванно",excited; excitedly
B2,взгляд,1) весёлый взгляд 2) взгляд на жизнь,"view, look 1) joyful look 2) view of life"
B2,взгляну́ть,св I,to look
B2,вздра́гивать,нсв I — вздро́гнуть св I,to shiver
B2,вздыха́ть,нсв I — вздохну́ть св I,to sigh
B2,взлета́ть,"нсв I — взлете́ть (взлечу́, взлети́шь) св II",to fly up
B2,взро́слый,"(-ая, -ое, -ые) прил.",adult
B2,взро́слый,(-ые) сущ.,adult
B2,взрыва́ть,"нсв I — взорва́ть (взорву́, взорвёшь) св I",to blow up
B2,взя́тка,р.п. мн.ч. взя́ток,bribe
B2,вид,1) только ед.ч. — име́ть уста́лый вид 2) вид из окна́ на мо́ре,view 1) to look tired 2) seaview from the window
B2,ви́ден,"видна́ (-о, -ы́) кр.ф.",is (are) seen
B2,ви́део,неизм.,video
B2,видеока́мера,,videocamera
B2,видеомагнитофо́н,,video cassette recorder
